"ts","country","category","visits","unique_visitors","avg_unit_price","sales"
"2022-01-01T00:00:00.000000Z","FR","WOMEN",539,344,57.45,925.519496828933
"2022-01-01T00:00:00.000000Z","FR","MEN",521,335,46.34,2519.042391369116
"2022-01-01T00:00:00.000000Z","FR","KIDS",559,298,49.75,2001.442493142545
"2022-01-01T00:00:00.000000Z","FR","HOME",568,290,67.53,2447.287191614967
"2022-01-01T00:00:00.000000Z","FR","KITCHEN",536,257,26.32,625.363197857345
"2022-01-01T00:00:00.000000Z","FR","BATHROOM",536,322,23.67,639.089997810314
"2022-01-01T00:01:00.000000Z","FR","WOMEN",1113,425,57.45,5156.711929327138
"2022-01-01T00:01:00.000000Z","FR","MEN",1043,644,46.34,784.072789254263
"2022-01-01T00:01:00.000000Z","FR","KIDS",1130,629,49.75,3241.709955572286
"2022-01-01T00:01:00.000000Z","FR","HOME",1089,458,67.53,6612.537509375013
"2022-01-01T00:01:00.000000Z","FR","KITCHEN",1003,404,26.32,505.343993074248
"2022-01-01T00:01:00.000000Z","FR","BATHROOM",959,557,23.67,2704.060762940782
"2022-01-01T00:02:00.000000Z","FR","WOMEN",1601,877,57.45,3536.621890943649
"2022-01-01T00:02:00.000000Z","FR","MEN",1709,634,46.34,5692.868824452961
"2022-01-01T00:02:00.000000Z","FR","KIDS",1497,823,49.75,1388.024957198439
"2022-01-01T00:02:00.000000Z","FR","HOME",1490,863,67.53,15315.803527717211
"2022-01-01T00:02:00.000000Z","FR","KITCHEN",1468,944,26.32,2842.559912345955
"2022-01-01T00:02:00.000000Z","FR","BATHROOM",1619,737,23.67,6135.263810811134
"2022-01-01T00:03:00.000000Z","FR","WOMEN",2011,809,57.45,2192.291879818343
"2022-01-01T00:03:00.000000Z","FR","MEN",2039,1163,46.34,3581.155003680730
"2022-01-01T00:03:00.000000Z","FR","KIDS",2015,1019,49.75,12196.709331375194
"2022-01-01T00:03:00.000000Z","FR","HOME",2015,1427,67.53,3111.782229411791
"2022-01-01T00:03:00.000000Z","FR","KITCHEN",2159,1151,26.32,6481.036444708943
"2022-01-01T00:03:00.000000Z","FR","BATHROOM",2035,1055,23.67,4473.629754755177
"2022-01-01T00:04:00.000000Z","FR","WOMEN",2753,1154,57.45,9113.005469412712
"2022-01-01T00:04:00.000000Z","FR","MEN",2867,1237,46.34,9620.183175969694
"2022-01-01T00:04:00.000000Z","FR","KIDS",2861,1147,49.75,13283.248862204655
"2022-01-01T00:04:00.000000Z","FR","HOME",2675,1747,67.53,14738.42123755982
"2022-01-01T00:04:00.000000Z","FR","KITCHEN",2507,1769,26.32,5827.247500858928
"2022-01-01T00:04:00.000000Z","FR","BATHROOM",2423,1477,23.67,5336.401042903071
"2022-01-01T00:05:00.000000Z","FR","WOMEN",3254,1916,57.45,4901.633395406924
"2022-01-01T00:05:00.000000Z","FR","MEN",3362,1376,46.34,18417.367328305674
"2022-01-01T00:05:00.000000Z","FR","KIDS",2908,1952,49.75,12035.518515476253
"2022-01-01T00:05:00.000000Z","FR","HOME",3355,1700,67.53,16166.680005917211
"2022-01-01T00:05:00.000000Z","FR","KITCHEN",3052,1682,26.32,11483.940983510709
"2022-01-01T00:05:00.000000Z","FR","BATHROOM",3110,1313,23.67,5687.900298424655
"2022-01-01T00:06:00.000000Z","FR","WOMEN",3956,1690,57.45,25624.993697907943
"2022-01-01T00:06:00.000000Z","FR","MEN",3880,2099,46.34,7084.458010614710
"2022-01-01T00:06:00.000000Z","FR","KIDS",3721,1847,49.75,20372.62157971063
"2022-01-01T00:06:00.000000Z","FR","HOME",3561,2183,67.53,7402.637357196674
"2022-01-01T00:06:00.000000Z","FR","KITCHEN",3527,2036,26.32,6466.822914307343
"2022-01-01T00:06:00.000000Z","FR","BATHROOM",3805,2477,23.67,8455.15928049239
"2022-01-01T00:07:00.000000Z","FR","WOMEN",4396,2171,57.45,13898.300952374846
"2022-01-01T00:07:00.000000Z","FR","MEN",4492,1607,46.34,9342.141951451269
"2022-01-01T00:07:00.000000Z","FR","KIDS",4377,2591,49.75,12984.7471526993
"2022-01-01T00:07:00.000000Z","FR","HOME",4099,2003,67.53,4983.712907169383
"2022-01-01T00:07:00.000000Z","FR","KITCHEN",4348,2567,26.32,10157.412172678478
"2022-01-01T00:07:00.000000Z","FR","BATHROOM",4569,2771,23.67,8998.385226830385
"2022-01-01T00:08:00.000000Z","FR","WOMEN",5183,2740,57.45,20164.944403687936
"2022-01-01T00:08:00.000000Z","FR","MEN",5043,1984,46.34,21019.818166437573
"2022-01-01T00:08:00.000000Z","FR","KIDS",5043,2969,49.75,4009.600137228588
"2022-01-01T00:08:00.000000Z","FR","HOME",5183,2173,67.53,21296.254889718977
